"","denial","adversary","esca_scaled","esca_scaled_wa","MA_scaled","GovTrust","NewsTrust","IntTrust","NC_scaled","Military.Service","Read.FP","reputation_scaled","ambiguity","insulting","war","airstrike","sanctions","diplomacy","age","male","hhi","white","black","education","republican","democrat"
"373",1,1,50.4851603883944,47.2848699812616,-2.39845791562704,2,2,2,-0.0615198509462284,0,3,33.9197647402634,3,4,1,2,4,5,36,0,21,1,0,7,0,1
"374",1,1,25.5631716277257,22.3301780231691,-0.864996038585002,1,3,3,-0.0615198509462284,0,4,50,3,3,1,1,3,3,25,0,1,0,1,2,0,1
"375",1,1,37.7815858138628,36.1650890115845,1.48272458957873,3,1,3,0.361114102831249,0,1,33.3607303851275,2,2,2,2,3,3,33,0,9,1,0,5,0,0
"376",0,1,80.7484933388966,88.8189435514507,-0.211596374252489,2,2,2,-0.819102942980701,1,5,100,4,5,2,5,5,5,51,0,6,1,0,5,0,1
"377",1,1,50,50,-0.704136951795817,2,1,4,0.361114102831249,0,1,8.36073038512754,2,1,3,3,3,3,28,0,1,0,0,4,1,0
"378",0,1,44.1207434615661,39.8467997858601,-2.62390394161059,3,1,4,-0.819102942980701,0,4,16.4803218816214,4,1,2,2,3,4,21,0,11,1,0,4,0,1
"379",0,1,87.1656622259311,92.5459623676338,0.324706879697093,4,2,4,-0.308784173682741,0,2,50.2411388886337,3,3,3,5,5,5,67,1,9,1,0,6,0,1
"380",0,1,62.7815858138628,61.1650890115845,1.41813765038437,3,2,2,0.361114102831249,0,1,58.3607303851275,3,4,3,3,4,4,60,0,3,1,0,6,1,0
"381",1,1,18.5828311129655,21.2729811838169,-0.929582977779368,3,2,2,-0.396468989203223,0,4,33.7608170070123,2,3,1,2,2,2,33,0,21,1,0,6,0,1
"382",0,1,25.4346418301441,14.7721511390099,-2.93476116957662,3,3,4,-1.1540520812377,0,4,33.1195914964939,4,2,2,1,1,4,20,0,1,1,0,5,0,0
"383",1,1,31.9023292754289,26.0118887974447,-4.0281919402639,2,1,3,-0.819102942980701,0,1,66.3981307262388,3,1,1,1,3,4,23,0,3,1,0,2,0,1
"384",0,1,81.9803405147601,76.0571968393522,0.796423194452309,3,3,3,0.361114102831249,0,1,75.4000866218848,4,5,4,3,5,5,40,0,9,1,0,2,0,0
"385",1,1,50.0252592791252,53.7563594211258,1.48272458957873,1,1,1,0.696063241088244,0,5,83.7608170070123,3,1,2,3,4,3,70,1,9,0,1,7,1,0
"386",0,1,62.7288338536568,64.8761403908029,-1.0587568561681,2,2,4,0.361114102831249,0,3,33.7608170070123,4,5,1,3,5,5,67,0,4,1,0,2,0,0
"387",0,1,62.7815858138628,61.1650890115845,2.57615536026601,3,1,3,0.696063241088244,0,1,16.4803218816214,4,2,3,3,4,4,70,1,9,1,0,4,1,0
"388",0,1,93.5575718338404,92.516621762691,-0.929582977779368,2,2,3,0.361114102831249,0,4,58.5196781183786,4,4,5,5,4,5,39,0,15,1,0,5,1,0
"389",0,1,80.7484933388966,88.8189435514507,-2.31304671364456,2,2,4,-0.396468989203223,0,5,83.2785392297449,4,4,2,5,5,5,45,0,23,1,0,6,0,1
"390",1,1,80.7484933388966,88.8189435514507,2.1798869303175,5,5,5,0.783748056608727,0,5,75,4,5,2,5,5,5,35,1,19,1,0,8,0,1
"391",0,1,50,50,-0.457866663024153,2,2,3,0.361114102831249,0,4,50,4,5,3,3,3,3,48,0,4,1,0,5,0,1
