"","denial","adversary","esca_scaled","MA_scaled","GovTrust","NewsTrust","IntTrust","NC_scaled","Read.FP","reputation_scaled","ambiguity","insulting","war","airstrike","sanctions","diplomacy","age","male","hhi","white","black","education","republican","democrat"
"879",1,1,57.8980498796051,-1.19377105950913,4,4,3,-0.101897048398659,2,41.9541796977948,3,3,2,3,4,4,31,0,12,1,0,6,0,1
"880",0,1,60.2337304425115,1.60621921082608,2,1,1,-0.42081276894809,1,100,4,4,1,2,5,5,58,0,13,0,1,7,0,1
"881",0,1,66.0035208443596,-2.59272346633651,4,3,2,-0.0309045204251778,5,83.9083593955896,4,2,2,2,5,5,19,0,NA,1,0,4,0,1
"882",0,1,39.8661396850639,-2.75404469504895,3,1,3,-0.42081276894809,1,33.9083593955896,3,2,1,2,4,3,22,0,19,1,0,6,0,1
"883",0,1,70.3675907574475,-3.22828282136008,3,1,3,-1.12963673802043,4,25.5305187792592,4,1,3,3,4,5,30,0,9,0,0,6,0,1
"886",0,1,57.6906287944557,0.970659855802509,4,1,4,-0.491805296921572,2,49.4694812207408,4,3,1,4,4,4,18,0,6,1,0,2,1,0
"887",0,1,77.128259477757,-0.428292551024868,3,1,2,-0.0309045204251778,4,75,4,4,2,4,5,5,33,0,12,1,0,4,0,1
"888",1,1,53.2656406370527,0.496421729491369,3,2,3,-0.0309045204251778,4,67.484698477054,4,2,1,2,4,5,34,1,19,1,0,6,1,0
"889",1,1,75.9299600741463,0.496421729491369,4,4,2,-0.42081276894809,5,58.5763390814644,3,4,3,4,4,5,39,0,8,1,0,8,0,1
"890",1,1,46.7733112462076,1.31497882865296,1,1,1,-0.0309045204251778,5,75,3,2,2,1,4,4,56,0,5,0,0,7,1,0
"891",1,1,50,-0.719532933197993,4,3,3,-0.0309045204251778,4,25.3320203141251,2,1,3,3,3,3,18,0,NA,0,1,2,0,0
"892",1,1,50,-1.59116862303691,3,2,4,-0.42081276894809,1,41.6221593836696,3,2,3,3,3,3,41,0,11,1,0,6,0,1
"898",0,1,87.5304591221575,-0.0308949874970942,2,4,3,-0.0309045204251778,4,83.5763390814644,4,4,4,5,5,4,64,1,4,1,0,6,0,1
"900",1,1,50,-0.719532933197993,3,3,3,0.288011200124253,2,50,3,3,3,3,3,3,45,0,7,0,0,2,0,1
"901",0,1,71.3584690759089,-1.24684965018646,3,4,4,-0.42081276894809,4,83.5763390814644,4,4,1,4,5,5,52,1,23,1,0,6,0,1
"902",0,1,81.9680898054588,-1.19377105950913,4,2,3,-0.101897048398659,4,58.5763390814644,4,2,4,4,5,4,24,0,8,1,0,6,1,0
"903",1,1,77.128259477757,-0.32213536967022,2,2,4,-0.101897048398659,4,75.5305187792592,4,5,2,4,5,5,36,1,8,1,0,5,0,0
"904",1,1,82.8980498796051,2.18661451849187,3,2,4,0.288011200124253,4,66.6221593836696,4,4,3,4,5,5,54,1,20,1,0,6,1,0
"905",0,1,68.0319101945412,-0.375213960347544,3,2,3,-0.42081276894809,4,75.5305187792592,4,4,4,4,3,4,21,0,NA,1,0,1,1,0
"907",1,1,49.2559002559217,1.44489798211365,1,1,2,-0.810721017471003,5,100,4,4,2,4,1,5,43,1,3,1,0,4,0,0
"936",1,1,88.4604191963038,1.26190023797563,3,3,3,0.288011200124253,5,66.9541796977948,4,4,3,5,5,5,92,0,12,1,0,6,1,0
"938",0,1,71.5658901610583,1.31497882865296,2,2,1,-0.101897048398659,5,100,4,5,2,3,5,5,53,1,1,1,0,2,0,1
"939",1,1,82.6906287944558,1.31497882865296,1,1,4,0.288011200124253,2,58.5763390814644,4,4,2,5,5,5,55,0,15,1,0,6,1,0
"942",1,1,46.5658901610583,-3.57260179421053,4,4,4,-0.42081276894809,4,58.5763390814644,3,3,1,2,4,4,26,0,10,1,0,7,0,1
"946",0,1,57.8980498796051,-2.4097257221985,3,3,3,0.217018672150771,2,66.4236609185356,4,2,2,3,4,4,23,0,21,1,0,6,0,1
"948",1,1,87.2621197926931,-0.137052168851742,5,5,5,-0.101897048398659,4,100,4,3,4,5,4,5,35,0,20,1,0,7,0,1
"949",0,1,71.5658901610583,-1.19377105950913,1,1,2,-0.42081276894809,3,42.1526781629289,4,3,2,3,5,5,51,0,5,1,0,2,1,0
"952",0,1,65.7960997592102,-2.88396384850964,4,4,5,-0.739728489497521,4,58.5763390814644,4,3,1,3,5,5,19,0,9,1,0,1,0,1
"954",1,1,94.2302095981519,3.34949059050391,4,4,4,0.288011200124253,5,83.5763390814644,4,4,4,5,5,5,48,0,19,1,0,5,0,1
"955",0,1,77.3356805629064,1.31497882865296,2,2,3,-0.0309045204251778,3,66.9541796977948,4,4,3,3,5,5,37,1,14,1,0,6,1,0
"956",1,1,69.2302095981519,-0.428292551024868,4,4,4,-0.101897048398659,2,33.5763390814644,3,2,3,4,4,4,33,0,14,1,0,7,0,1
"957",0,1,94.2302095981519,2.477854900665,2,1,2,-0.810721017471003,4,100,4,5,4,5,5,5,32,0,16,1,0,5,1,0
"958",1,1,37.9453012924563,0.787662111664495,2,2,3,0.606926920673684,2,67.1526781629289,3,4,4,1,3,2,34,0,1,1,0,1,0,0
"959",0,1,70.3675907574475,-0.719532933197993,4,2,4,-0.42081276894809,1,25.5305187792592,4,3,3,3,4,5,21,0,NA,0,1,5,0,1
"960",0,1,71.3584690759089,-3.57260179421053,2,1,3,-0.739728489497521,4,100,3,3,1,4,5,5,31,0,1,1,0,1,0,1
"962",0,1,54.8182695726205,-1.7210877764976,4,2,5,-0.101897048398659,5,100,3,4,2,5,1,5,58,0,13,0,0,6,0,1
"963",1,1,52.3356805629064,-1.93548759588736,2,3,4,-0.42081276894809,3,75,3,2,2,2,4,4,22,0,6,1,0,2,0,0
"964",1,1,25.6616207446818,2.18661451849187,5,4,2,0.606926920673684,5,33.3778406163304,3,4,1,2,1,4,36,1,1,1,0,7,0,1
"965",1,1,47.9716106498184,-1.98856618656468,4,4,4,-0.42081276894809,3,25.3320203141251,4,3,1,1,5,4,22,0,24,1,0,4,0,1
"968",1,1,69.0227885130026,1.31497882865296,2,2,3,0.288011200124253,4,42.1526781629289,4,3,2,5,4,4,65,0,17,1,0,3,1,0
"969",0,1,63.6678402814532,-1.59116862303691,4,2,3,0.677919448647165,3,40.8931421392763,4,4,3,3,4,4,72,0,NA,0,0,5,0,1
"975",0,1,100,2.477854900665,3,2,3,0.288011200124253,4,91.9541796977948,4,4,5,5,5,5,56,1,15,1,0,7,1,0
"976",0,1,64.8661396850639,-0.428292551024868,2,2,3,-0.0309045204251778,2,50.5305187792592,4,4,2,3,5,4,40,0,15,1,0,4,1,0
"977",1,1,76.9208383926077,2.66085264480301,1,1,1,0.606926920673684,5,83.9083593955896,4,4,1,5,5,5,51,0,10,1,0,4,1,0
"978",0,1,37.2621197926931,-1.77416636717492,5,2,1,0.288011200124253,5,42.2862000119199,4,3,2,3,2,3,47,0,1,0,1,2,0,1
"979",1,1,66.2109419295089,3.34949059050391,5,4,4,-0.0309045204251778,5,75,4,5,3,1,5,5,38,1,24,1,0,7,0,1
"981",0,1,77.128259477757,0.840740702341819,3,3,4,0.217018672150771,4,91.4236609185356,4,5,2,4,5,5,39,1,19,0,0,6,0,1
"982",1,1,88.4604191963038,1.44489798211365,2,1,2,0.288011200124253,5,100,4,5,3,5,5,5,45,1,11,1,0,5,1,0
"985",1,1,82.8980498796051,1.65929780150341,1,2,2,0.288011200124253,5,91.9541796977948,3,5,3,4,5,5,68,1,4,1,0,8,1,0
"986",1,1,32.8980498796051,-1.59116862303691,2,2,2,-0.42081276894809,4,16.9541796977948,3,2,1,2,3,3,42,0,NA,0,0,4,0,0
"988",0,1,77.3356805629064,1.60621921082608,3,3,3,-0.101897048398659,3,83.5763390814644,4,5,3,3,5,5,33,0,1,0,0,5,0,1
"990",1,1,81.492329390845,-0.375213960347544,3,3,2,0.288011200124253,4,58.5763390814644,4,5,3,5,4,5,50,1,11,1,0,2,1,0
"991",0,1,50.9299600741463,-0.32213536967022,3,2,3,-0.42081276894809,4,33.3778406163304,4,3,2,3,3,4,38,0,8,0,0,8,1,0
