,denial,adversary,esca_scaled,MA_scaled,GovTrust,NewsTrust,IntTrust,NC_scaled,Military.Service,Read.FP,reputation_scaled,ambiguity,insulting,war,airstrike,sanctions,diplomacy,age,male,hhi,white,black,education,republican,democrat
92,0,1,38.34475744,-1.240440206,1,2,3,-1.154052081,0,4,8.519678118,3,1,1,1,4,4,20,0,17,1,0,4,0,1
93,0,1,93.66084235,1.48272459,2,1,3,0.361114103,0,3,83.51967812,4,4,5,5,5,4,46,1,15,1,0,6,0,1
94,1,1,37.80684509,-3.406477484,2,1,3,-1.154052081,0,3,16.48032188,3,1,1,2,4,3,38,0,3,1,0,5,1,0
95,1,1,56.44242817,2.640742299,3,3,4,-0.061519851,0,4,25.40008662,3,3,3,3,4,3,52,0,5,1,0,5,1,0
96,0,1,63.34475744,-1.77674346,3,2,3,-0.396468989,0,1,58.51967812,4,3,2,2,5,5,36,1,6,1,0,6,1,0
97,1,1,50,-4.02819194,2,2,2,-0.819102943,0,1,50,2,1,3,3,3,3,24,0,8,0,0,2,0,0
98,1,1,31.36441693,-0.147009435,2,2,3,-0.308784174,0,3,33.36073039,3,4,1,2,3,3,34,1,18,0,0,4,1,0
99,1,1,31.33915765,-0.147009435,4,2,4,-0.061519851,0,3,8.519678118,3,3,2,2,2,3,18,1,7,0,0,2,0,0
100,1,1,100,1.793581818,3,1,2,0.696063241,0,1,100,4,5,5,5,5,5,33,1,2,1,0,2,0,1
101,1,1,19.1987547,0.635564108,4,3,3,0.361114103,0,2,33.36073039,3,4,2,1,2,2,40,1,7,0,0,2,0,1
102,0,1,44.24927326,-4.339049168,3,3,3,-0.819102943,0,1,100,4,4,1,2,5,3,47,0,1,0,1,7,0,0
103,0,1,12.78158581,-1.305027145,4,4,4,0.026164965,0,2,0,4,1,1,1,2,2,73,0,8,1,0,6,0,1
104,0,1,62.70357457,-2.087600688,2,2,2,-0.396468989,0,1,50.24113889,3,2,2,3,4,5,43,0,16,1,0,6,0,1
105,0,1,37.85959705,0.078436591,2,3,3,-0.061519851,0,1,41.8804085,3,1,3,2,3,2,23,0,13,1,0,6,1,0
106,0,1,51.12634326,-4.02819194,3,2,2,-0.484153805,0,3,16.8804085,4,1,1,1,5,5,45,0,18,1,0,7,0,1
107,1,1,25.45990111,-1.615884373,2,2,3,-0.061519851,0,4,16.63926961,2,1,1,1,2,4,45,0,11,1,0,5,0,1
